cDNA	gene
1	1267
2	1268
3	1269
4	1270
5	1271
6	1272
7	1273
8	1274
9	1275
10	1276
11	1277
12	1278
13	1279
14	1280
15	1281
16	1282
17	1283
18	1284
19	1285
20	1286
21	1287
22	1288
23	1289
24	1290
25	1291
26	1292
27	1293
28	1294
29	1295
30	1296
31	1297
32	1298
33	1299
34	1300
35	2265
36	2266
37	2267
38	2268
39	2269
40	2270
41	2271
42	2272
43	2273
44	2274
45	2275
46	2276
47	2277
48	2278
49	2279
50	2280
51	2281
52	2282
53	2283
54	2284
55	2285
56	2286
57	2287
58	2288
59	2289
60	2290
61	2291
62	2292
63	2293
64	2294
65	2295
66	2296
67	2297
68	2298
69	2299
70	2300
71	4749
72	4750
73	4751
74	4752
75	4753
76	4754
77	4755
78	4756
79	4757
80	4758
81	4759
82	4760
83	4761
84	4762
85	4763
86	4764
87	4765
88	4766
89	4767
90	4768
91	4769
92	4770
93	4771
94	4772
95	4773
96	4774
97	4775
98	4776
99	4777
100	4778
101	4779
102	4780
103	4781
104	4782
105	4783
106	4784
107	4785
108	4786
109	4787
110	4788
111	4789
112	4790
113	4791
114	4792
115	4793
116	4794
117	4795
118	4796
119	4797
120	4798
121	4799
122	4800
123	4801
124	4802
125	4803
126	4804
127	4805
128	4806
129	4807
130	4808
131	4809
132	4810
133	4811
134	4812
135	4813
136	4814
137	4815
138	4816
139	4817
140	4818
141	4819
142	4820
143	4821
144	4822
145	4823
146	4824
147	4825
148	4826
149	4827
150	4828
151	4829
152	4830
153	4831
154	4832
155	4833
156	4834
157	4835
158	4836
159	4837
160	4838
161	4839
162	4840
163	4841
164	4842
165	4843
166	4844
167	4845
168	4846
169	4847
170	4848
171	4849
172	4850
173	4851
174	4852
175	4853
176	4854
177	4855
178	4856
179	4857
180	4858
181	4859
182	4860
183	4861
184	4862
185	4863
186	4864
187	4865
188	4866
189	4867
190	4868
191	4869
192	4870
193	4871
194	4872
195	4873
196	4874
197	4875
198	4876
199	4877
200	4878
201	4879
202	4880
203	4881
204	4882
205	4883
206	4884
207	4885
208	4886
209	4887
210	4888
211	4889
212	4890
213	4891
214	4892
215	4893
216	4894
217	4895
218	4896
219	4897
220	4898
221	4899
222	4900
223	4901
224	4902
225	4903
226	4904
227	4905
228	4906
229	4907
230	4908
231	4909
232	4910
233	4911
234	4912
235	4913
236	4914
237	4915
238	4916
239	4917
240	4918
241	4919
242	4920
243	4921
244	4922
245	4923
246	4924
247	4925
248	4926
249	4927
250	4928
251	4929
252	4930
253	4931
254	4932
255	4933
256	4934
257	4935
258	4936
259	4937
260	4938
261	4939
262	4940
263	4941
264	4942
265	4943
266	4944
267	4945
268	4946
269	4947
270	4948
271	4949
272	4950
273	4951
274	4952
275	4953
276	4954
277	4955
278	4956
279	4957
280	4958
281	4959
282	4960
283	4961
284	4962
285	4963
286	4964
287	4965
288	4966
289	4967
290	4968
291	4969
292	4970
293	4971
294	4972
295	4973
296	4974
297	4975
298	4976
299	4977
