cDNA	gene
1	1266
2	1267
3	1268
4	1269
5	1270
6	1271
7	1272
8	1273
9	1274
10	1275
11	1276
12	1277
13	1278
14	1279
15	1280
16	1281
17	1282
18	1283
19	1284
20	1285
21	1286
22	1287
23	1288
24	1289
25	1290
26	1291
27	1292
28	1293
29	1294
30	1295
31	1296
32	1297
33	1298
34	1299
35	2776
36	2777
37	2778
38	2779
39	2780
40	2781
41	2782
42	2783
43	2784
44	2785
45	2786
46	2787
47	2788
48	2789
49	2790
50	2791
51	2792
52	2793
53	2794
54	2795
55	2796
56	2797
57	2798
58	2799
59	2800
60	2801
61	2802
62	2803
63	2804
64	2805
65	2806
66	2807
67	2808
68	2809
69	2810
70	2811
71	5256
72	5257
73	5258
74	5259
75	5260
76	5261
77	5262
78	5263
79	5264
80	5265
81	5266
82	5267
83	5268
84	5269
85	5270
86	5271
87	5272
88	5273
89	5274
90	5275
91	5276
92	5277
93	5278
94	5279
95	5280
96	5281
97	5282
98	5283
99	5284
100	5285
101	5286
102	5287
103	5288
104	5289
105	5290
106	5291
107	5292
108	5293
109	5294
110	5295
111	5296
112	5297
113	5298
114	5299
115	5300
116	5301
117	5302
118	5303
119	5304
120	5305
121	5306
122	5307
123	5308
124	5309
125	5310
126	5311
127	5312
128	5313
129	5314
130	5315
131	5316
132	5317
133	5318
134	5319
135	5320
136	5321
137	5322
138	5323
139	5324
140	5325
141	5326
142	5327
143	5328
144	5329
145	5330
146	5331
147	5332
148	5333
149	5334
150	5335
151	5336
152	5337
153	5338
154	5339
155	5340
156	5341
157	5342
158	5343
159	5344
160	5345
161	5346
162	5347
163	5348
164	5349
165	5350
166	5351
167	5352
168	5353
169	5354
170	5355
171	5356
172	5357
173	5358
174	5359
175	5360
176	5361
177	5362
178	5363
179	5364
180	5365
181	5366
182	5367
183	5368
184	5369
185	5370
186	5371
187	5372
188	5373
189	5374
190	5375
191	5376
192	5377
193	5378
194	5379
195	5380
196	5381
197	5382
198	5383
199	5384
200	5385
201	5386
202	5387
203	5388
204	5389
205	5390
206	5391
207	5392
208	5393
209	5394
210	5395
211	5396
212	5397
213	5398
214	5399
215	5400
216	5401
217	5402
218	5403
219	5404
220	5405
221	5406
222	5407
223	5408
224	5409
225	5410
226	5411
227	5412
228	5413
229	5414
230	5415
231	5416
232	5417
233	5418
234	5419
235	5420
236	5421
237	5422
238	5423
239	5424
240	5425
241	5426
242	5427
243	5428
244	5429
245	5430
246	5431
247	5432
248	5433
249	5434
250	5435
251	5436
252	5437
253	5438
254	5439
255	5440
256	5441
257	5442
258	5443
259	5444
260	5445
261	5446
262	5447
263	5448
264	5449
265	5450
266	5451
267	5452
268	5453
269	5454
270	5455
271	5456
272	5457
273	5458
274	5459
275	5460
276	5461
277	5462
278	5463
279	5464
280	5465
281	5466
282	5467
283	5468
284	5469
285	5470
286	5471
287	5472
288	5473
289	5474
290	5475
291	5476
292	5477
293	5478
294	5479
295	5480
296	5481
297	5482
298	5483
299	5484
300	5485
301	5486
302	5487
303	5488
304	5489
305	5490
306	5491
307	5492
308	5493
309	5494
310	5495
311	5496
312	5497
313	5498
314	5499
315	5500
316	5501
317	5502
318	5503
319	5504
320	5505
321	5506
322	5507
323	5508
324	5509
325	5510
326	5511
327	5512
328	5513
329	5514
330	5515
331	5516
332	5517
333	5518
334	5519
335	5520
336	5521
337	5522
338	5523
339	5524
340	5525
341	5526
342	5527
343	5528
344	5529
345	5530
346	5531
347	5532
348	5533
349	5534
350	5535
351	5536
352	5537
353	5538
354	5539
355	5540
356	5541
357	5542
358	5543
359	5544
360	5545
361	5546
362	5547
363	5548
364	5549
365	5550
366	5551
367	5552
368	5553
369	5554
370	5555
371	7084
372	7085
373	7086
374	7087
375	7088
376	7089
377	7090
378	7091
379	7092
380	7093
381	7094
382	7095
383	7096
384	7097
385	7098
386	7099
387	7100
388	7101
389	7102
390	7103
391	7104
392	7105
393	7106
394	7107
395	7108
396	7109
397	7110
398	7111
399	7112
400	7113
401	7114
402	7115
403	7116
404	7117
405	7118
406	7119
407	7120
408	7121
409	7122
410	7123
411	7124
412	7125
413	7126
414	7127
415	7128
416	7129
417	7130
418	7131
419	7132
420	7133
421	7134
422	7135
423	7136
424	7137
425	7138
426	7139
427	7140
428	7141
429	7142
430	7143
431	7144
432	7145
433	7146
434	7147
435	7148
436	7149
437	7150
438	7151
439	7152
440	7153
441	7154
442	7155
443	7156
444	7157
445	7158
446	7159
447	7160
448	7161
449	7162
450	7163
451	7164
452	7165
453	7166
454	7167
455	7168
456	7169
457	7170
458	7171
459	7172
460	7173
461	7174
462	7175
463	7176
464	7177
465	7178
466	7179
467	7180
468	7181
469	7182
470	7183
471	7184
472	7185
473	7186
474	7187
475	7188
476	7189
477	7190
478	7191
479	7192
480	7193
481	7194
482	7195
483	7196
484	7197
485	7198
486	7199
487	7200
488	7201
489	7202
490	7203
491	7204
492	7205
493	7206
494	7207
495	7208
496	7209
497	7210
498	7211
499	7212
500	7213
501	7214
502	7215
503	7216
504	7217
505	7218
506	7219
507	7220
508	7221
509	7222
510	7223
511	7224
512	7225
513	7226
514	7227
515	7228
516	7229
517	7230
518	7231
519	7232
520	7233
521	7234
522	7235
523	7236
524	7237
525	7238
526	7239
527	7240
528	7241
529	7242
530	7243
531	7244
532	7245
533	7246
534	7247
535	7248
536	7249
537	7250
538	7251
539	7252
540	7253
541	7254
542	7255
543	7256
544	7257
545	7258
546	7259
547	7260
548	7261
549	7262
550	7263
551	7264
552	7265
553	7266
554	7267
555	7268
556	7269
557	7270
558	7271
559	7272
560	7273
561	7274
562	7275
563	7276
564	7277
565	7278
566	7279
567	7280
568	7281
569	7282
570	7283
571	7284
572	7285
573	7286
574	7287
575	7288
576	7289
577	7290
578	7291
579	7292
580	7293
581	7294
582	7295
583	7296
584	7297
585	7298
586	7299
587	7300
588	7301
589	7302
590	7303
591	7304
592	7305
593	7306
594	7307
595	7308
596	7309
597	7310
598	7311
599	7312
600	7313
601	7314
602	7315
603	7316
604	7317
605	7318
606	7319
607	7320
608	7321
609	7322
610	7323
611	7324
612	7325
613	7326
614	7327
615	7328
616	7329
617	7330
618	7331
619	7332
620	7333
621	7334
622	7335
623	7336
624	7337
625	7338
626	7339
627	7340
628	7341
629	7342
630	7343
631	7344
632	7345
633	7346
634	7347
635	7348
636	7349
637	7350
638	7351
639	7352
640	7353
641	7354
642	7355
643	7356
644	7357
645	7358
646	7359
647	7360
648	7361
649	7362
650	7363
651	7364
652	7365
653	7366
654	7367
655	7368
656	7369
657	7370
658	7371
659	7372
660	7373
661	7374
662	7375
663	7376
664	7377
665	10525
666	10526
667	10527
668	10528
669	10529
670	10530
671	10531
672	10532
673	10533
674	10534
675	10535
676	10536
677	10537
678	10538
679	10539
680	10540
681	10541
682	10542
683	10543
684	10544
685	10545
686	10546
687	10547
688	10548
689	10549
690	10550
691	10551
692	10552
693	10553
694	10554
695	10555
696	10556
697	10557
698	10558
699	10559
700	10560
701	10561
702	10562
703	10563
704	10564
705	10565
706	10566
707	10567
708	10568
709	10569
710	10570
711	10571
712	10572
713	10573
714	10574
715	10575
716	14841
717	14842
718	14843
719	14844
720	14845
721	14846
722	14847
723	14848
724	14849
725	14850
726	14851
727	14852
728	14853
729	14854
730	14855
731	14856
732	14857
733	14858
734	14859
735	14860
736	14861
737	14862
738	14863
739	14864
740	14865
741	14866
742	14867
743	14868
744	14869
745	14870
746	14871
747	14872
748	14873
749	14874
750	14875
751	14876
752	14877
753	14878
754	14879
755	14880
756	14881
757	14882
758	14883
759	14884
760	14885
761	14886
762	14887
763	14888
764	14889
765	14890
766	14891
767	14892
768	14893
769	14894
770	14895
771	14896
772	14897
773	14898
774	14899
775	14900
776	14901
777	14902
778	14903
779	14904
780	14905
781	14906
782	14907
783	14908
784	14909
785	14910
786	14911
787	14912
788	14913
789	14914
790	14915
791	14916
792	14917
793	14918
794	14919
795	14920
796	14921
797	14922
798	14923
799	14924
800	14925
801	14926
802	14927
